ubigeo;Region;Province;District;Area;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
10205;AMAZONAS;BAGUA;IMAZA;4459.297106;18727;18932.44697;19153.50229;19390.33522;19643.1441;19912.15846;20197.63946;20499.87748;20819.18532;21155.88542;21510.28991;21882.67216;22273.22972;22682.03855;23109;23573.10831;24091.98202;24662.97314;25283.1119;25949.22238;26658.01024;27406.11683;28190.13877;29006.61667;29852;30722.59781
10206;AMAZONAS;BAGUA;LA PECA;136.4897995;6990.844715;7166.290991;7322.349794;7459.232293;7577.430036;7677.690223;7760.987583;7828.493572;7881.543513;7921.60233;7950.22954;7969.044294;7979.691349;7983.808996;7983;7964.347164;7915.377456;7838.46105;7736.165944;7611.253147;7466.65189;7305.415347;7130.661624;6945.507137;6753;6556.060223
10301;AMAZONAS;BONGARA;JUMBILLA;154.18;1362;1411.625943;1457.302875;1498.842508;1536.125256;1569.099033;1597.776492;1622.23081;1642.590147;1659.030953;1671.770307;1681.057553;1687.165538;1690.381788;1691;1686.596134;1674.836204;1656.196533;1631.217883;1600.502948;1564.708802;1524.534476;1480.704844;1433.95258;1385;1334.542478
10302;AMAZONAS;BONGARA;CHISQUILLA;174.96;373;373.5370408;373.8809942;374.0479174;374.0542828;373.9169484;373.6531005;373.2801455;372.8155328;372.2764912;371.6796718;371.0406952;370.373618;369.6903416;369;367.7496541;365.4582229;362.241216;358.2164162;353.5045356;348.2291139;342.515664;336.4902408;330.2777086;324;317.7746324
10303;AMAZONAS;BONGARA;CHURUJA;33.34;296;297.3598638;298.5145486;299.4782594;300.2658976;300.8930027;301.3756721;301.7304406;301.9741068;302.1234895;302.1951083;302.2047877;302.167195;302.0953303;302;301.8961643;301.7758173;301.610314;301.3695157;301.024499;300.5495476;299.9233965;299.1297944;298.1575178;297;295.6547522
10304;AMAZONAS;BONGARA;COROSHA;45.67;389;418.6580621;449.4947503;481.2614324;513.6471276;546.2762576;578.7085973;610.4418903;640.9175327;669.5296314;695.6376097;718.5823754;737.7058801;752.3736944;762;768.9177026;775.7108248;782.2105284;788.2386385;793.6153039;798.1654155;801.7235355;804.1373349;805.2697256;805;803.2243564
10305;AMAZONAS;BONGARA;CUISPES;110.72;744;765.1903351;784.045856;800.5765145;814.8313026;826.894899;836.8837677;844.9418504;851.2359806;855.9511471;859.2857274;861.446816;862.6457753;863.0941396;863;860.6173904;854.280171;844.3377133;831.1706641;815.1854785;796.8071752;776.4705126;754.610246;731.6513387;708;684.0362733
10306;AMAZONAS;BONGARA;FLORIDA;203.22;3635;3902.258082;4178.527049;4461.039237;4746.402253;5030.590649;5308.964534;5576.320059;5826.975696;6054.896748;6253.858498;6417.646109;6540.286675;6616.306029;6641;6639.799499;6639.298406;6637.212255;6631.225702;6619.060352;6598.533895;6567.608975;6524.431956;6467.363046;6395;6306.197891
10307;AMAZONAS;BONGARA;JAZAN;88.83;7160;7395.36313;7618.545686;7828.241381;8023.234869;8202.41545;8364.788695;8509.485194;8635.765677;8743.021901;8830.772937;8898.656952;8946.419011;8973.895972;8981;8970.337082;8943.796613;8900.245411;8838.621393;8758.035047;8657.845915;8537.711425;8397.609375;8237.838112;8059;7861.974244
10308;AMAZONAS;BONGARA;RECTA;24.58;307;302.9947147;298.9454656;294.8680803;290.7777682;286.6891388;282.6161964;278.5723001;274.5700763;270.621277;266.7365812;262.9253459;259.1953184;255.5523303;252;248.5798434;245.3104695;242.1581087;239.0894416;236.0736251;233.0836345;230.0969589;227.0957559;224.0666034;221;217.8897548
10309;AMAZONAS;BONGARA;SAN CARLOS;100.76;511;491.9076562;475.3402958;461.0130163;448.6818709;438.1371705;429.1978954;421.7069793;415.5272725;410.5380259;406.6317708;403.7114957;401.6880498;400.4777257;400;401.1520402;404.7685918;410.7011648;418.8289262;429.0528928;441.2904924;455.4702419;471.5263734;489.3933149;509;530.2640543
10310;AMAZONAS;BONGARA;SHIPASBAMBA;127.29;857;904.425982;952.5710354;1001.146439;1049.826742;1098.250803;1146.023675;1192.719297;1237.883971;1281.040515;1321.693014;1359.332118;1393.440842;1423.500945;1449;1472.431242;1496.214843;1519.692049;1542.155114;1562.863493;1581.060737;1595.991486;1606.918308;1613.138357;1614;1608.919614
10311;AMAZONAS;BONGARA;VALERA;90.14;1304;1318.867478;1331.491405;1342.008375;1350.572439;1357.352579;1362.530188;1366.296484;1368.849864;1370.393143;1371.130693;1371.265489;1370.996123;1370.513881;1370;1361.62346;1338.801013;1303.822405;1259.165555;1207.33935;1150.753885;1091.622702;1031.898155;973.2381184;917;864.2567341
10312;AMAZONAS;BONGARA;YAMBRASBAMBA;1715.96;3521;3794.485004;4074.932692;4359.385849;4644.340761;4925.763478;5199.130971;5459.499767;5701.603417;5919.978694;6109.118729;6263.649555;6378.524804;6449.231699;6472;6470.421581;6467.074934;6457.293355;6436.418103;6399.918367;6343.526183;6263.380657;6156.175742;6019.305488;5851;5650.444593
10401;AMAZONAS;CONDORCANQUI;NIEVA;4512.242568;14953;15866.45176;16780.66045;17686.2951;18573.0931;19429.97815;20245.2179;21006.61967;21701.76101;22318.24975;22844.0071;23267.56624;23578.37883;23767.12217;23826;23812.01617;23777.77256;23710.04608;23595.7537;23422.38332;23178.42628;22853.79301;22440.19771;21931.50084;21324;20616.66016
10402;AMAZONAS;CONDORCANQUI;EL CENEPA;5378.392956;7443;7532.02495;7625.849887;7724.616118;7828.476074;7937.594821;8052.150936;8172.336248;8298.353837;8430.413711;8568.725613;8713.48858;8864.877084;9023.023874;9188;9365.896084;9562.209716;9775.927963;10005.90726;10250.92865;10509.74112;10781.0908;11063.73555;11356.44659;11658;11967.16223
10403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;8084.754476;8124;8503.476163;8887.345929;9274.771438;9664.882321;10056.78155;10449.55086;10842.25484;11233.94262;11623.64591;12010.37251;12393.09424;12770.72924;13142.11882;13506;13867.48926;14230.90304;14593.34551;14951.57847;15302.15297;15641.52887;15966.17454;16272.64358;16557.62918;16818;17050.82372
10501;AMAZONAS;LUYA;LAMUD;69.49;2547;2550.571293;2552.646159;2553.355325;2552.832813;2551.215562;2548.642887;2545.255596;2541.19468;2536.599419;2531.604885;2526.338818;2520.917985;2515.444162;2510;2503.867488;2496.281144;2487.212305;2476.622598;2464.486101;2450.804959;2435.618267;2419.004976;2401.082133;2382;2361.935667
10502;AMAZONAS;LUYA;CAMPORREDONDO;376.01;4907;5044.663799;5180.271609;5313.504337;5444.048203;5571.597012;5695.853935;5816.53239;5933.355531;6046.053908;6154.360956;6258.006114;6356.705678;6450.15175;6538;6623.383874;6708.910096;6793.294892;6875.156077;6953.075656;7025.652373;7091.541876;7149.484257;7198.320445;7237;7264.583611
